ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
142844,,Stags' Leap Winery The Leap Cabernet Sauvignon 2018,125.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/4/2/8/142844.jpg.thumb.319.319.png
174333,Private Stock,Esk Valley Winemakers Reserve Chardonnay 2018,60.70,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/7/4/3/174333.jpg.thumb.319.319.png
175174,,Inniskillin Winemaker's Select Vineyards Pinot Noir 2010,14.25,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/7/5/1/175174.jpg.thumb.319.319.png
186882,,Shea Wine Cellars Estate Pinot Noir 2018,84.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/8/6/8/186882.jpg.thumb.319.319.png
208413,Mavrodaphne of Patras,Kourtaki Mavrodaphne Of Patras Sweet Red Wine,17.30,Wine,Fortified Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/0/8/4/208413.jpg.thumb.319.319.png
217562,Kittling Ridge,Kittling Ridge Icewine & Brandy,4.95,Wine,Fortified Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/1/7/5/217562.jpg.thumb.319.319.png
219022,House Wine Co.,White House Wine Co. Riesling Pinot Grigio VQA,13.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/1/9/0/219022.jpg.thumb.319.319.png
219030,House Wine Co. Wines,Red House Wine Co. Cabernet Shiraz VQA,13.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/1/9/0/219030.jpg.thumb.319.319.png
224196,Pelee Island,Pelee Island Winery J. S. Hamilton Vendange Tardive Pinot Gris 2017,17.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/2/4/1/224196.jpg.thumb.319.319.png
269373,Ghost Pines,Ghost Pines Winemaker's Blend Zinfandel 2018,20.75,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/6/9/3/269373.jpg.thumb.319.319.png
279521,House Wine Co. Wines,Red House Wine Co. Baco Cabernet Sauvignon VQA,13.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/7/9/5/279521.jpg.thumb.319.319.png
285113,,Gurjaani Wine Cellar Akhasheni 2019,18.85,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/2/8/5/1/285113.jpg.thumb.319.319.png
320986,,Thirty Bench Winemaker's Blend Red 2020,24.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/3/2/0/9/320986.jpg.thumb.319.319.png
324558,House Wine Co. Wines,Pink House Wine Co. Rosé VQA,9.65,Wine,Rosé Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/3/2/4/5/324558.jpg.thumb.319.319.png
326389,Inniskillin ,Winemaker's Series Merlot 2010,17.75,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/3/2/6/3/326389.jpg.thumb.319.319.png
341511,,Greek Spirit Romios (Cavino Winery And Distillery),29.95,Spirits,Cognac & Brandy,2,https://aem.lcbo.com/content/dam/lcbo/products/3/4/1/5/341511.jpg.thumb.319.319.png
424689,Three Dog,Three Dog Winery Dog House White VQA,14.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/2/4/6/424689.jpg.thumb.319.319.png
427310,Long Weekend Wine,Chardonnay Pinot Grigio VQA,13.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/2/7/3/427310.jpg.thumb.319.319.png
427328,Long Weekend Wine,Cabernet VQA,14.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/2/7/3/427328.jpg.thumb.319.319.png
435784,Vieni,Vieni Momenti Sparkling Wine VQA,15.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/3/5/7/435784.jpg.thumb.319.319.png
438937,Three Dog,Three Dog Winery Dog House Red VQA,15.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/3/8/9/438937.jpg.thumb.319.319.png
444414,Betz,La Côte Rousse Syrah 2017,70.80,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/4/4/4/444414.jpg.thumb.319.319.png
